,review,sent_hc_7,sent_openai_zero_shot,sent_openai_fewshot1,sent_openai_zeroshot
2399,"Peter Vogts 700-Seiten-Mammutwerk über den Kontingenzbegriff hat Rezensent Oliver Müller sichtlich beeindruckt. Die Habilitationsschrift des Historiker bietet in den Augen des Rezensenten eine umfassende Erkundung der Ideen- und Begriffsgeschichte der Kontingenz aus verschiedenen Perspektiven. Neben der Diskussion der Kontingenz, also des Zufälligen, Schicksalhaften, Unverfügbaren, bei Aristoteles und in der Philosophie des Mittelalters unterstreicht Müller die Auseinandersetzung mit Philosophen und Soziologen wie Richard Rorty, Odo Marquard und Hermann Lübbe. Sicher, die Schlussfolgerungen, zu denen Vogt letztendlich kommt, hätte man vielleicht auch auf kürzerem Weg erreichen können. Aber, so hebt der Rezensent hervor, erst an der Fülle des Materials, das Vogt untersucht, zeigt sich der Facettenreichtum seiner Reflexion über Konzigenz.",6,2,6,2
2455,"Einfach nur schrecklich findet Rezensentin Katharina Döbler Durs Grünbeins Poem zur Zerstörung Dresdens, für das er das Bild des Porzellans für ihren Geschmack reichlich überstrapaziert. ""Schönheit und Zerbrechlichkeit, Hybris und Untergang"" werden so unerbittlich zusammengereimt, dass die Rezensentin sich gelegentlich an die ""Kalauer eines blödelnden Fernseh-Entainers"" erinnert fühlt (""Von der bella ante bellum - nichts mehr da""). Meist aber sind ihr Bilder und Reimschema einfach zu bieder. Und das ""altväterliche, offen patriarchalische Frauenbild"" findet sie ebenfalls recht unzeitgemäß. Fragwürdig schließlich kommt ihr vor, was Grünbein daraus folgert, dass die Frauenkirche nach der Bombardierung noch einige Tage stand, bevor sie zusammenbrach: ""so wie sie die Haltung wahren.""",1,7,1,7
5047,"Die Beschäftigung mit dem Dritten Reich ist ""kein Ruhmesblatt der deutschen Zeitgeschichtsschreibung"", meint Volker Ullrich. Insofern lobt er die Untersuchung als wichtige Arbeit, da sie aufdeckt, wie schwer sich viele Historiker immer noch im Umgang mit den Ursachen der NS-Herrschaft tun. Berg zeige, wie nach Kriegsende vor allem die eigene Opferrolle betont wurde. Besonders das Münchner Institut für Zeitgeschichte und sein langjähriger Direktor Martin Broszat werden von ihm kritisiert. Hier prophezeit der Rezensent, dass Bergs Buch noch heftigen Streit auslösen wird. Manche seiner Urteile seien indes zu hart, da sich die Historiografie zum Holocaust nicht ""als reine Defizitgeschichte schreiben"" ließe. So griffe sein Vorwurf an die 68er nicht, dass sie durch ihren ""inflationäre Faschismus-Begriff"" eine zweite Verdrängung bewirkt hätten. Ein weiteres ""großes Verdienst"" des Buches ist jedoch die Erinnerung an den jüdischen Publizisten Josef Wulf, der bisher nicht genug gewürdigt wird, wie Ullrich findet.",4,6,6,6
5250,"Kulturkritische Intelligenz und eine ""merkwürdige"" Klugheit attestiert Lorenz Jäger Barbara Bongartz angesichts ihrer Erzählung ""Topmodel"". Die macht er im heimlichen ""Subtext"" des Buchs aus, das den Modelwahn als ""Krieg"" inszeniert und an entsprechende Rhetorik anknüpft, wie der Rezensent herausstreicht. Wie eine Reportage komme das Buch zunächst daher, in der die Autorin nicht an hämischer Kritik an Heidi Klums sprachlichem Unvermögen spart. Den zweiten, mit ""Lilli"" überschriebenen Teil, der so etwas wie eine Model-Casting-Show-Karikatur darstellt, findet er zwar allzu überzogen und deshalb weniger gelungen. Dafür hat er sich dann von dem geradezu antike Größe ausstrahlendem Triumph einer russischen Anwärterin auf den Titel von ""Germany's Next Topmodel"" faszinieren lassen.",4,4,6,4
3400,"Als Meisterwerk vollendeter Selbstironie feiert Paul Jandl den jüngsten Roman von Thomas Glavinic, der hier nach seinem äußerst düsteren Buch ""Arbeit der Nacht"" nun ein urkomisches, dabei aber tiefgründiges und geradezu philosophisches Buch vorgelegt hat. Es handelt vom fiktionalen Schriftsteller Thomas Glavinic, der im Spannungsfeld von Familie, eingebildeten Krankheiten und Versagensängsten seiner Schriftstellerexistenz nachgeht. Auch wenn hier zahlreiche bekannte Figuren aus dem literarischen Leben auftreten, ist dieser Roman keine Satire des Literaturbetriebs und man sollte ihn auch nicht als Schlüsselroman lesen, betont der Rezensent. Man könnte die Berichte aus dem Leben eines depressiven, hypochondrischen Schriftstellers ""banal"" finden, wäre da nicht Glavinics Talent fürs Komische und seine Fähigkeit, noch in den alltäglichsten Szenen das ""Dämonische"" herauszuarbeiten, preist der Rezensent. Dieser nach allen Regeln der Kunst geschriebene ""Unterhaltungsroman"" beweist so immer wieder seine ""solide Abgründigkeit"", und auch wenn dieses Buch wohl im Gesamtwerk des österreichischen Autors eher eine Ausnahme bleiben wird, wie Jandl vermutet, stößt sie bei ihm auf viel Beifall.",7,4,7,4
762,"Völlig begeistert ist Ilona Lehnert von Uwe Schultz' ""Madame de Pompadour oder Die Liebe an der Macht"", eine Biografie der Mätresse Ludwigs XV. Die Rezensentin ist fasziniert, wie es Schultz gelingt, aus diesem hochpolitischen Sujet ein Lesevergnügen zu bereiten, in dem ""neben seiner bürgerlichen 'Heldin' auch deren politische Wegbegleiter, ihre Günstlinge und Feinde in den Erzählstrang"" eingeflochten werden. Jeanne-Antoinette Poisson, wie die 1721 geborene Pompadour  mit bürgerlichem Namen hieß, hat ihre Karriere sorgfältig geplant und mittels der Verführung schnell erreicht. ""Ob die über Nacht zur mächtigsten Frau Frankreichs avancierte Vierundzwanzigjährige erkannte, wie eminent politisch, wie gewinnorientiert und im höchsten Maße staatsgefährdend diese Protektion war, darf bezweifelt werden, schreibt Lehnert. In Frankreich ist die Mätresse verhasst, weil sie sich von 1750 an in die Politik einmischte und so ungewollt dazu bei trug, die Hegemonie der ihr verhassten Engländer zu stärken und Preußens Aufstieg zu begünstigen. Lehnert fragt sich, ob Uwe Schultz jüngste Biografie der Madame de Pompadour, dazu beitragen könnte, dass sich auch die Franzosen der späten Rehabilitation der verhassten Mätresse Ludwigs XV. anschließen.",7,6,7,6
1441,"Zwiegespalten reagiert Helmut Böttiger auf Uwe Tellkamps Roman über den Terror von rechts. ""So grob zubehauen die Inhalte sind, so raffiniert ist die Form."" Die Handlung, in der eine elitäre Gruppe die Demokratie beseitigen will, um eine Art ""Kastengesellschaft von Geistesaristokraten"" einzuführen, kann den Rezensenten nicht gerade vom Hocker hauen. Auf ihn wirkt das einerseits zu ""trivial"", andererseits zu ""gewollt"". Tellkamp erinnert ihn in der ""Mischung aus Politik-Wut und Melodram"" an Fassbinder, allerdings ohne dessen anarchische Komponente. Der Stil allerdings gefällt Böttiger ganz außerordentlich. Der andauernde Perspektivwechsel, manchmal ""mitten im Satz"", lässt ihn an Reinhard Jirgl denken. Und Tellkamp könne ""suggestiv"" schreiben, also Bilder finden, ""die ein zeitgenössiches Grundgefühl in Szene setzen"". Leider übertrage sich diese ""unbändige Sprache"" nicht auf den Inhalt, beklagt er und wartet auf einen neuen Roman Tellkamps, dann hoffentlich ""aus einem Guss"".",3,6,4,6
3467,"Rezensentin Christine Regus mochte dieses Buch, das, wie sie schreibt, die Geschichten von vier Freundinnen kunstvoll verflicht. Denn es gehe um die ewig aktuelle Frage, wie und wo man das Leben findet, das man leben möchte: verhandelt eben, ""postfeministisch zugespitzt"" an vier Frauen, und deren Probleme zwischen Partnerwahl und Familiengründung. Das kommt manchmal für den Geschmack der Kritikerin arg detailverliebt und auch klischeehaft daher, weshalb ihr beim Lesen gelegentlich die Frage durch den Kopf geht, ""ob diese Frauen wirklich nichts anderes beschäftigt"". Doch weil die Autorin dem Leser die Orientierungslosigkeit ihrer Figuren so unmittelbar zumutet, nimmt alles schließlich eine Wendung ins Bedrohliche, schlägt das zunächst so unscheinbare Buch doch literarische Funken.",5,6,6,6
935,"Teuflisch brillant findet Tobias Schwartz Michail Bulgakows Kurzroman über Professor Pfirsichow und die roten Wachstumsstrahlen, die menschenfressende Echsen hervorbringen. Ob Bulgakows prophetischer Blick von 1924 bis ins heutige Russland reicht, muss für Schwartz gar nicht beantwortet werden, um das Buch als kraftvolles und böses Sci-Fi-Meisterstück wertzuschätzen. Unter dem expressiv kunstvoll gestalteten Science-Fiction-Text nämlich entdeckt der Rezensent (zusammen mit dem kongenialen Übersetzer und Nachwort-Verfasser Alexander Nitzberg) eine metaphysische, eine teuflische Komponente.",7,7,7,7
3781,"Für Andreas Dorschel demonstriert dieser sechste Band der gesammelten Werke Jean Amerys, dass man mit solchen Werkausgaben den damit gewürdigten Schriftstellern mitunter einen ""zweifelhaften Dienst"" erweist. Denn insbesondere bei Autoren, die von ihren Erzeugnissen leben mussten, ist eine ""Mehrfachverwertung"" der Texte zu erwarten, gibt der Rezensent zu bedenken. Zwar hat er vollstes Verständnis dafür, dass Amery sich in seinen philosophischen Aufsätzen ""ausgiebig wiederholt, doch räumt er ein, dass ihn die Wiederholungen in diesem Band der Werkausgabe mitunter ziemlich gelangweilt haben. Zudem findet er manchen Aufsatz, der als Zeitungsartikel, als der er ursprünglich erschienen war, durchaus seine Berechtigung hat, als philosophischen Traktat nicht überzeugend und zu sehr der Tagesaktualität verpflichtet. So mancher Text wirkt durch den ""anspruchsvolleren Rahmen"" dieser Ausgabe ""passé"", moniert Dorschel. Doch auch ""große Momente"" hat der Rezensent in diesem Buch gefunden, wie er versichert. Ihm imponiert besonders der Aufsatz von 1968, in dem Amery die""Selbstdestruktion einer dem Zeitgeist vorauseilenden gehorsamen Theologie"" aus der Position eines Atheisten analysiert und preist dessen ""unbestechliche Intelligenz"". Auch Amerys Kritik an Theodor Adornos ""Negativer Dialektik"" bleiben für den begeisterten Rezensenten ""unüberholt"".",5,6,4,6
2553,"Monika Feth erzählt in ihrem neuen Jugendroman vom langsamen Abschied des Mädchens Jana von der Sekte ""Kinder des Mondes"", in die sie zwangsweise durch ihre Mutter hineinsozialisiert wurde, berichtet Christiane Kögel. Lange hat die Sekte dem Mädchen Geborgenheit geboten, doch mit zunehmendem Alter entdeckt sie die Widersprüchlichkeiten des abgeschotteten Lebens und seiner eigenen Regeln und flieht aus dem rigorosen sozialen Gefüge. Die Autorin beschreibt die Verwirrungen des Mädchens aus mehreren Perspektiven und macht das Buch so realitätsnah und reich, lobt Kögel. Besonders gelungen findet sie den Schluss: Der sei nachdenklich und vorsichtig - passend zu den ersten Schritten Janas in der Freiheit.",6,2,6,2
2984,"Am Manierismus haben sich, wie der Rezensent Oskar Bätschmann einleitend darstellt, die Geister der Stilanalyse forschungsgeschichtlich bedeutsam geschieden. Das ""Ende der Periodisierung der Geschichte durch Stilepochen"" erwies sich an der Unmöglichkeit, den Manierismus als Stilepoche zu beschreiben. Das Augenmerk wurde statt dessen auf Widersprüche und Paradoxien gelegt. So auch bei Emil Maurer, der in mehreren Essays ""die Darstellung der menschlichen Gestalt"" ins Zentrum seiner Aufmerksamkeit stellt. Gegeneinander stehen hier, in manieristischem Widerspruch, unter anderem die ""eigenbewegte Figur"" und der Drang zur Unterordnung unter die dargestellte Handlung. Herausgearbeitet wird das in Aufsätzen zu Parmigianino, Bassano, Beccafumi und anderen. Oskar Bätschmann ist begeistert. Er lobt die ""präzise und konzentrierte Analyse von Werken"", die den Leser nie bedrängt, sondern Fragen stellt und zum ""selbständigen Sehen und Fragen"" anleitet. ""Unvergleichlich präzise und schlicht"" findet der Rezensent die Sprache Maurers. Wie Burckhardt, meint er, weckt Maurer die ""Lust am Genuss"" der Werke, die, so Bätschmann, noch heute ""überraschend, bizarr, überspannt, affektiert, phantastisch, extrem experimentell und befremdlich"" scheinen.",5,1,7,1
5646,"Ein ""stachliges"", aber unbedingt lesenswertes Stück Literatur kann Rezensentin Kerstin Holm mit Barbara Lehmanns Debütroman ""Eine Liebe in Zeiten des Krieges"" empfehlen. Die Kritikerin nimmt hier an Lehmanns reichem deutsch-russisch-tschetschenischen Erfahrungsschatz teil, folgt einer Charlottenburger Intellektuellen, die einem von moskautreuen Kadyrow-Einheiten gefangengenommenen Freund nachreist und bewundert die Kunst der Autorin, aus realen Ereignissen und Personen eine fesselnde Bildungs- und ""Läuterungsgeschichte"" zu konstruieren. Mit ihrem lyrischen, femininen und ""körperlichen"" Erzählton erinnert Lehmann an die russische Autorin Wituchnowskaja, schreibt die Rezensentin, die eine faszinierende Geschichte über innere und äußere Konflikte gelesen hat.",7,5,6,5
5130,"Hanna Engelmeier nimmt die Anstrengungen gerne auf sich, die Maren Kames der Leserin ihres Gedichtbandes zumutet beziehungsweise zugesteht. Vereinzelte Verse, Zeilen- und Seitensprünge, viel Weiß. Engelmeier empfiehlt, das Buch nicht in kleinen Dosen zu lesen, um nicht zu verpassen, wie Landschaft hier zu Sprache wird und wieder zu Landschaft. Für Engelmeier erschafft die Autorin eine besondere Art der Naturlyrik, konkret und durch die über QR-Codes einspielbaren gelesenen Takes neu, fordernd und in der Form frei. Die ausgesuchte Gestaltung macht den Band für die Rezensentin zudem zu einem Objekt.",6,6,6,6
